document_id,clean_text,label
doc_1,present fashionmnist new dataset comprising grayscale image fashion product category image per category training set image test set image fashionmnist intended serve direct dropin replacement original mnist dataset benchmarking machine learning algorithm share image size data format structure training testing split dataset freely available http url,applications
doc_2,tensorflow interface expressing machine learning algorithm implementation executing algorithm computation expressed using tensorflow executed little change wide variety heterogeneous system ranging mobile device phone tablet largescale distributed system hundred machine thousand computational device gpu card system flexible used express wide variety algorithm including training inference algorithm deep neural network model used conducting research deploying machine learning system production across dozen area computer science field including speech recognition computer vision robotics information retrieval natural language processing geographic information extraction computational drug discovery paper describes tensorflow interface implementation interface built google tensorflow api reference implementation released opensource package apache license november available wwwtensorfloworg,applications
doc_3,widespread use artificial intelligence system application everyday life accounting fairness gained significant importance designing engineering system system used many sensitive environment make important lifechanging decision thus crucial ensure decision reflect discriminatory behavior toward certain group population recently work developed traditional machine learning deep learning address challenge different subdomains commercialization system researcher becoming aware bias application contain attempting address survey investigated different realworld application shown bias various way listed different source bias affect application created taxonomy fairness definition machine learning researcher defined avoid existing bias system addition examined different domain subdomains showing researcher observed regard unfair outcome stateoftheart method way tried address still many future direction solution taken mitigate problem bias system hoping survey motivate researcher tackle issue near future observing existing work respective field,interpretability
doc_4,quantitatively investigate machine learning model leak information individual data record trained focus basic membership inference attack given data record blackbox access model determine record model training dataset perform membership inference target model make adversarial use machine learning train inference model recognize difference target model prediction input trained versus input train empirically evaluate inference technique classification model trained commercial machine learning service provider google amazon using realistic datasets classification task including hospital discharge dataset whose membership sensitive privacy perspective show model vulnerable membership inference attack investigate factor influence leakage evaluate mitigation strategy,privacy
doc_5,machine learning system become ubiquitous surge interest interpretable machine learning system provide explanation output explanation often used qualitatively assess criterion safety nondiscrimination however despite interest interpretability little consensus interpretable machine learning measured position paper first define interpretability describe interpretability needed next suggest taxonomy rigorous evaluation expose open question towards rigorous science interpretable machine learning,interpretability
doc_6,goal precipitation nowcasting predict future rainfall intensity local region relatively short period time previous study examined crucial challenging weather forecasting problem machine learning perspective paper formulate precipitation nowcasting spatiotemporal sequence forecasting problem input prediction target spatiotemporal sequence extending fully connected lstm fclstm convolutional structure inputtostate statetostate transition propose convolutional lstm convlstm use build endtoend trainable model precipitation nowcasting problem experiment show convlstm network capture spatiotemporal correlation better consistently outperforms fclstm stateoftheart operational rover algorithm precipitation nowcasting,machine_learning
doc_7,current age fourth industrial revolution industry digital world wealth data internet thing iot data cybersecurity data mobile data business data social medium data health data etc intelligently analyze data develop corresponding smart automated application knowledge artificial intelligence particularly machine learning key various type machine learning algorithm supervised unsupervised semisupervised reinforcement learning exist area besides deep learning part broader family machine learning method intelligently analyze data large scale paper present comprehensive view machine learning algorithm applied enhance intelligence capability application thus study key contribution explaining principle different machine learning technique applicability various realworld application domain cybersecurity system smart city healthcare ecommerce agriculture many also highlight challenge potential research direction based study overall paper aim serve reference point academia industry professional well decisionmakers various realworld situation application area particularly technical point view,privacy
doc_8,present open graph benchmark ogb diverse set challenging realistic benchmark datasets facilitate scalable robust reproducible graph machine learning research ogb datasets largescale million node billion edge encompass multiple important graph task cover diverse range domain ranging social information network biological network molecular graph source code asts knowledge graph dataset provide unified evaluation protocol using meaningful applicationspecific data split evaluation metric addition building datasets also perform extensive benchmark experiment dataset experiment suggest ogb datasets present significant challenge scalability largescale graph outofdistribution generalization realistic data split indicating fruitful opportunity future research finally ogb provides automated endtoend graph pipeline simplifies standardizes process graph data loading experimental setup model evaluation ogb regularly updated welcome input community ogb datasets well data loader evaluation script baseline code leaderboards publicly available http url,machine_learning
doc_9,scikitlearn python module integrating wide range stateoftheart machine learning algorithm mediumscale supervised unsupervised problem package focus bringing machine learning nonspecialists using generalpurpose highlevel language emphasis put ease use performance documentation api consistency minimal dependency distributed simplified bsd license encouraging use academic commercial setting source code binary documentation downloaded httpscikitlearnsourceforgenet,machine_learning
doc_10,machine learning model deep neural network dnns vulnerable adversarial example malicious input modified yield erroneous model output appearing unmodified human observer potential attack include malicious content like malware identified legitimate controlling vehicle behavior yet existing adversarial example attack require knowledge either model internals training data introduce first practical demonstration attacker controlling remotely hosted dnn knowledge indeed capability blackbox adversary observe label given dnn chosen input attack strategy consists training local model substitute target dnn using input synthetically generated adversary labeled target dnn use local substitute craft adversarial example find misclassified targeted dnn perform realworld properlyblinded evaluation attack dnn hosted metamind online deep learning api find dnn misclassifies adversarial example crafted substitute demonstrate general applicability strategy many technique conducting attack model hosted amazon google using logistic regression substitute yield adversarial example misclassified amazon google rate also find blackbox attack strategy capable evading defense strategy previously found make adversarial example crafting harder,machine_learning
doc_11,interpretable machine learning become popular research direction deep neural network dnns become powerful application mainstream yet dnns remain difficult understand testing concept activation vector tcav kim approach interpreting dnns humanfriendly way recently received significant attention machine learning community tcav algorithm achieves degree global interpretability dnns humandefined concept explanation project introduces robust tcav build tcav experimentally determines best practice method objective robust tcav making tcav consistent reducing variance tcav score distribution increasing cav tcav score resistance perturbation difference mean method cav generation determined best practice achieve objective many area tcav process explored including cav visualization low dimension negative class selection activation perturbation direction cav finally thresholding technique considered remove noise tcav score project step direction making tcav already impactful algorithm interpretability reliable useful practitioner,interpretability
doc_12,paper provides review commentary past present future numerical optimization algorithm context machine learning application case study text classification training deep neural network discus optimization problem arise machine learning make challenging major theme study largescale machine learning represents distinctive setting stochastic gradient method traditionally played central role conventional gradientbased nonlinear optimization technique typically falter based viewpoint present comprehensive theory straightforward yet versatile algorithm discus practical behavior highlight opportunity designing algorithm improved performance lead discussion next generation optimization method largescale machine learning including investigation two main stream research technique diminish noise stochastic direction method make use secondorder derivative approximation,machine_learning
doc_13,recent advance artificial intelligence led widespread industrial adoption machine learning system demonstrating superhuman performance significant number task however surge performance often achieved increased model complexity turning system black box approach causing uncertainty regarding way operate ultimately way come decision ambiguity made problematic machine learning system adopted sensitive yet critical domain value could immense healthcare result scientific interest field explainable artificial intelligence xai field concerned development new method explain interpret machine learning model tremendously reignited recent year study focus machine learning interpretability method specifically literature review taxonomy method presented well link programming implementation hope survey would serve reference point theorist practitioner,interpretability
doc_14,use machine learning algorithm frequently involves careful tuning learning parameter model hyperparameters unfortunately tuning often black art requiring expert experience rule thumb sometimes bruteforce search therefore great appeal automatic approach optimize performance given learning algorithm problem hand work consider problem framework bayesian optimization learning algorithm generalization performance modeled sample gaussian process show certain choice nature type kernel treatment hyperparameters play crucial role obtaining good optimizer achieve expertlevel performance describe new algorithm take account variable cost duration learning algorithm experiment leverage presence multiple core parallel experimentation show proposed algorithm improve previous automatic procedure reach surpass human expertlevel optimization many algorithm including latent dirichlet allocation structured svms convolutional neural network,machine_learning
